,dataset,condition,label,evoked,subject,evoked_path
93,CVSA-ERP,covert,target,"<Evoked | 'target' (average, N=60), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A19,evokeds/CVSA-ERP/A19_covert_target.fif
94,CVSA-ERP,covert,non-target,"<Evoked | 'non-target' (average, N=300), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A19,evokeds/CVSA-ERP/A19_covert_non-target.fif
95,CVSA-ERP,split ($d=1$),non-target,"<Evoked | 'non-target' (average, N=480), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A19,evokeds/CVSA-ERP/A19_split ($d=1$)_non-target.fif
96,CVSA-ERP,split ($d=1$),distractor,"<Evoked | 'non-target' (average, N=120), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A19,evokeds/CVSA-ERP/A19_split ($d=1$)_distractor.fif
97,CVSA-ERP,split ($d=1$),target,"<Evoked | 'target' (average, N=120), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A19,evokeds/CVSA-ERP/A19_split ($d=1$)_target.fif
98,CVSA-ERP,split ($d=2$),distractor,"<Evoked | 'non-target' (average, N=120), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A19,evokeds/CVSA-ERP/A19_split ($d=2$)_distractor.fif
99,CVSA-ERP,split ($d=2$),non-target,"<Evoked | 'non-target' (average, N=480), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A19,evokeds/CVSA-ERP/A19_split ($d=2$)_non-target.fif
100,CVSA-ERP,split ($d=2$),target,"<Evoked | 'target' (average, N=120), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A19,evokeds/CVSA-ERP/A19_split ($d=2$)_target.fif
101,CVSA-ERP,split ($d=3$),distractor,"<Evoked | 'non-target' (average, N=60), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A19,evokeds/CVSA-ERP/A19_split ($d=3$)_distractor.fif
102,CVSA-ERP,split ($d=3$),non-target,"<Evoked | 'non-target' (average, N=240), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A19,evokeds/CVSA-ERP/A19_split ($d=3$)_non-target.fif
103,CVSA-ERP,split ($d=3$),target,"<Evoked | 'target' (average, N=60), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A19,evokeds/CVSA-ERP/A19_split ($d=3$)_target.fif
104,CVSA-ERP,overt,non-target,"<Evoked | 'non-target' (average, N=300), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A02,evokeds/CVSA-ERP/A02_overt_non-target.fif
105,CVSA-ERP,overt,target,"<Evoked | 'target' (average, N=60), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A02,evokeds/CVSA-ERP/A02_overt_target.fif
106,CVSA-ERP,covert,non-target,"<Evoked | 'non-target' (average, N=300), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A02,evokeds/CVSA-ERP/A02_covert_non-target.fif
107,CVSA-ERP,covert,target,"<Evoked | 'target' (average, N=60), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A02,evokeds/CVSA-ERP/A02_covert_target.fif
108,CVSA-ERP,split ($d=1$),non-target,"<Evoked | 'non-target' (average, N=478), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A02,evokeds/CVSA-ERP/A02_split ($d=1$)_non-target.fif
109,CVSA-ERP,split ($d=1$),target,"<Evoked | 'target' (average, N=120), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A02,evokeds/CVSA-ERP/A02_split ($d=1$)_target.fif
110,CVSA-ERP,split ($d=1$),distractor,"<Evoked | 'non-target' (average, N=117), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A02,evokeds/CVSA-ERP/A02_split ($d=1$)_distractor.fif
111,CVSA-ERP,split ($d=2$),non-target,"<Evoked | 'non-target' (average, N=479), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A02,evokeds/CVSA-ERP/A02_split ($d=2$)_non-target.fif
112,CVSA-ERP,split ($d=2$),target,"<Evoked | 'target' (average, N=120), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A02,evokeds/CVSA-ERP/A02_split ($d=2$)_target.fif
113,CVSA-ERP,split ($d=2$),distractor,"<Evoked | 'non-target' (average, N=119), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A02,evokeds/CVSA-ERP/A02_split ($d=2$)_distractor.fif
114,CVSA-ERP,split ($d=3$),distractor,"<Evoked | 'non-target' (average, N=60), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A02,evokeds/CVSA-ERP/A02_split ($d=3$)_distractor.fif
115,CVSA-ERP,split ($d=3$),non-target,"<Evoked | 'non-target' (average, N=240), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A02,evokeds/CVSA-ERP/A02_split ($d=3$)_non-target.fif
116,CVSA-ERP,split ($d=3$),target,"<Evoked | 'target' (average, N=60), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A02,evokeds/CVSA-ERP/A02_split ($d=3$)_target.fif
117,CVSA-ERP,overt,non-target,"<Evoked | 'non-target' (average, N=300), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A17,evokeds/CVSA-ERP/A17_overt_non-target.fif
118,CVSA-ERP,overt,target,"<Evoked | 'target' (average, N=60), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A17,evokeds/CVSA-ERP/A17_overt_target.fif
119,CVSA-ERP,covert,non-target,"<Evoked | 'non-target' (average, N=300), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A17,evokeds/CVSA-ERP/A17_covert_non-target.fif
