,index,block,rank,F_tr,F_rt,log_loss,mse,nmse,dataset,subject,session
136,6,7,"(8, 32)",1.049467952198902e-06,0.0007113797131165554,0.2886943963990034,0.20003529962199001,0.20003529962198993,BNCI2015-003,6,0
137,7,8,"(4, 4)",1.0497689150686807e-06,0.000713245633982333,0.28859554826567624,0.19321389271156605,0.19321389271156597,BNCI2015-003,6,0
138,8,9,"(8, 8)",1.051474464633645e-06,0.0007202232978920368,0.28787459793646347,0.15281415758510716,0.1528141575851071,BNCI2015-003,6,0
139,9,10,"(8, 8)",1.0524545136752245e-06,0.0007280486416971137,0.2865235673686594,0.12769314266753062,0.12769314266753057,BNCI2015-003,6,0
140,0,1,"(1, 1)",0.0002857187954982586,0.0005708026603398545,0.33107329038481625,0.997850440532104,0.9978504405321003,BNCI2015-003,7,0
141,1,2,"(2, 2)",0.00014989210374775005,0.0007752940427864041,0.2982050559112951,0.9827366492576027,0.9827366492575991,BNCI2015-003,7,0
142,2,3,"(8, 8)",9.60833607285701e-06,0.000890904494805914,0.27582061599184127,0.9272916641676998,0.9272916641676963,BNCI2015-003,7,0
143,3,4,"(8, 8)",7.660690730951705e-06,0.0009617666936446293,0.26103270861552325,0.8631856032539298,0.8631856032539266,BNCI2015-003,7,0
144,4,5,"(8, 8)",7.239325508799485e-06,0.0009832099164567738,0.25826427308316796,0.8001665896755827,0.8001665896755797,BNCI2015-003,7,0
145,5,6,"(8, 8)",7.028562894130898e-06,0.0010028617545561583,0.2552457728035793,0.7468295610615043,0.7468295610615016,BNCI2015-003,7,0
146,6,7,"(8, 8)",6.963249256332321e-06,0.001028530228338175,0.25279769162723315,0.7027083401551785,0.7027083401551758,BNCI2015-003,7,0
147,7,8,"(8, 16)",4.946676245252109e-06,0.0010811570295757625,0.24763438545629077,0.5692521145679682,0.5692521145679661,BNCI2015-003,7,0
148,8,9,"(8, 32)",1.7308020203030857e-06,0.0011259551714084236,0.23864288283651372,0.2552238833904347,0.2552238833904338,BNCI2015-003,7,0
149,9,10,"(2, 2)",1.7345760223899824e-06,0.0011271694882282785,0.23871357102216437,0.24974908377153285,0.2497490837715319,BNCI2015-003,7,0
150,0,1,"(8, 32)",6.0224005336904905e-06,0.0016907202912957117,0.16939171405001874,0.4613463506614053,0.4613463506614065,BNCI2015-003,8,0
151,1,2,"(1, 1)",6.022836788440642e-06,0.0016923267300142522,0.16249640397616177,0.4578972738220078,0.457897273822009,BNCI2015-003,8,0
152,2,3,"(8, 39)",3.96964530538296e-06,0.0019501423204972698,0.13013750014657244,5.016804394066379e-05,5.0168043940663924e-05,BNCI2015-003,8,0
