,stc,snr,jitter,method,accuracy,fold
389,sine,-6,0.2,CBLE-median,0.7,9
390,sine,-6,0.2,WCBLE-median,0.85,0
391,sine,-6,0.2,WCBLE-median,0.95,1
392,sine,-6,0.2,WCBLE-median,0.95,2
393,sine,-6,0.2,WCBLE-median,0.95,3
394,sine,-6,0.2,WCBLE-median,1.0,4
395,sine,-6,0.2,WCBLE-median,0.8,5
396,sine,-6,0.2,WCBLE-median,1.0,6
397,sine,-6,0.2,WCBLE-median,1.0,7
398,sine,-6,0.2,WCBLE-median,1.0,8
399,sine,-6,0.2,WCBLE-median,0.95,9
400,sine,-6,0.3,CBLE-median,0.6,0
401,sine,-6,0.3,CBLE-median,0.55,1
402,sine,-6,0.3,CBLE-median,0.85,2
403,sine,-6,0.3,CBLE-median,0.6,3
404,sine,-6,0.3,CBLE-median,0.65,4
405,sine,-6,0.3,CBLE-median,0.85,5
406,sine,-6,0.3,CBLE-median,0.6,6
407,sine,-6,0.3,CBLE-median,0.7,7
408,sine,-6,0.3,CBLE-median,0.8,8
409,sine,-6,0.3,CBLE-median,0.65,9
410,sine,-6,0.3,WCBLE-median,0.6,0
411,sine,-6,0.3,WCBLE-median,0.85,1
412,sine,-6,0.3,WCBLE-median,0.95,2
413,sine,-6,0.3,WCBLE-median,0.9,3
414,sine,-6,0.3,WCBLE-median,0.95,4
415,sine,-6,0.3,WCBLE-median,0.75,5
416,sine,-6,0.3,WCBLE-median,0.85,6
417,sine,-6,0.3,WCBLE-median,0.85,7
418,sine,-6,0.3,WCBLE-median,0.7,8
419,sine,-6,0.3,WCBLE-median,0.85,9
420,sine,-7,0.1,CBLE-median,0.9,0
421,sine,-7,0.1,CBLE-median,0.95,1
422,sine,-7,0.1,CBLE-median,0.95,2
423,sine,-7,0.1,CBLE-median,0.95,3
424,sine,-7,0.1,CBLE-median,0.95,4
425,sine,-7,0.1,CBLE-median,0.95,5
426,sine,-7,0.1,CBLE-median,0.95,6
427,sine,-7,0.1,CBLE-median,1.0,7
428,sine,-7,0.1,CBLE-median,0.95,8
429,sine,-7,0.1,CBLE-median,0.95,9
430,sine,-7,0.1,WCBLE-median,1.0,0
431,sine,-7,0.1,WCBLE-median,1.0,1
432,sine,-7,0.1,WCBLE-median,1.0,2
433,sine,-7,0.1,WCBLE-median,1.0,3
434,sine,-7,0.1,WCBLE-median,1.0,4
435,sine,-7,0.1,WCBLE-median,1.0,5
436,sine,-7,0.1,WCBLE-median,1.0,6
437,sine,-7,0.1,WCBLE-median,1.0,7
438,sine,-7,0.1,WCBLE-median,1.0,8
439,sine,-7,0.1,WCBLE-median,0.95,9
440,sine,-7,0.2,CBLE-median,0.85,0
441,sine,-7,0.2,CBLE-median,0.75,1
442,sine,-7,0.2,CBLE-median,0.8,2
443,sine,-7,0.2,CBLE-median,0.95,3
444,sine,-7,0.2,CBLE-median,0.8,4
445,sine,-7,0.2,CBLE-median,0.85,5
446,sine,-7,0.2,CBLE-median,0.85,6
447,sine,-7,0.2,CBLE-median,0.85,7
448,sine,-7,0.2,CBLE-median,0.9,8
449,sine,-7,0.2,CBLE-median,0.7,9
450,sine,-7,0.2,WCBLE-median,0.85,0
451,sine,-7,0.2,WCBLE-median,0.95,1
452,sine,-7,0.2,WCBLE-median,0.95,2
453,sine,-7,0.2,WCBLE-median,0.9,3
454,sine,-7,0.2,WCBLE-median,0.95,4
455,sine,-7,0.2,WCBLE-median,0.8,5
456,sine,-7,0.2,WCBLE-median,1.0,6
457,sine,-7,0.2,WCBLE-median,1.0,7
458,sine,-7,0.2,WCBLE-median,1.0,8
459,sine,-7,0.2,WCBLE-median,0.9,9
460,sine,-7,0.3,CBLE-median,0.6,0
461,sine,-7,0.3,CBLE-median,0.5,1
462,sine,-7,0.3,CBLE-median,0.8,2
463,sine,-7,0.3,CBLE-median,0.55,3
464,sine,-7,0.3,CBLE-median,0.55,4
465,sine,-7,0.3,CBLE-median,0.85,5
466,sine,-7,0.3,CBLE-median,0.5,6
467,sine,-7,0.3,CBLE-median,0.7,7
468,sine,-7,0.3,CBLE-median,0.75,8
469,sine,-7,0.3,CBLE-median,0.65,9
470,sine,-7,0.3,WCBLE-median,0.65,0
471,sine,-7,0.3,WCBLE-median,0.8,1
